Region,State,Crop,Season,Year,Area,Production_tons,Yield_tpha,Annual_Rainfall,Total_Rainfall,Fertilizer,Pesticide,Avg_Temp
East India,West Bengal,Masoor,Rabi       ,1997,51202.0,35040,0.662352941,1852.9,291.05,4872894.34,15872.62,24.254166666666663
East India,West Bengal,Mesta,Kharif     ,1997,9689.0,89000,9.154166667,1852.9,291.05,922102.13,3003.59,24.254166666666663
East India,West Bengal,Moong(Green Gram),Kharif     ,1997,1490.0,711,0.548888889,1852.9,291.05,141803.3,461.9,24.254166666666663
East India,West Bengal,Moong(Green Gram),Rabi       ,1997,3269.0,1710,0.542857143,1852.9,291.05,311110.73,1013.39,24.254166666666663
East India,West Bengal,Moong(Green Gram),Summer     ,1997,9959.0,303,0.046,1852.9,291.05,947798.03,3087.29,24.254166666666663
East India,West Bengal,Niger seed,Rabi       ,1997,50808100.0,38657300,0.698888889,1852.9,291.05,4835406877.0,15750511.0,24.254166666666663
East India,West Bengal,Niger seed,Whole Year ,1997,6512.0,3522,0.40375,1852.9,291.05,619747.04,2018.72,24.254166666666663
East India,West Bengal,Other Kharif pulses,Kharif     ,1997,1279.0,725,0.585,1852.9,291.05,121722.43,396.49,24.254166666666663
East India,West Bengal,Potato,Whole Year ,1997,284015.0,5581553,18.23722222,1852.9,291.05,27029707.55,88044.65,24.254166666666663
East India,West Bengal,Ragi,Autumn     ,1997,12607.0,15330,0.986,1852.9,291.05,1199808.19,3908.17,24.254166666666663
East India,West Bengal,Rapeseed &Mustard,Whole Year ,1997,327123.0,250950,0.718333333,1852.9,291.05,31132295.91,101408.13,24.254166666666663
East India,West Bengal,Rice,Autumn     ,1997,423121.0,751970,1.837222222,1852.9,291.05,40268425.57,131167.51,24.254166666666663
East India,West Bengal,Rice,Summer     ,1997,1206829.0,3569520,2.843888889,1852.9,291.05,114853915.9,374116.99,24.254166666666663
East India,West Bengal,Rice,Winter     ,1997,4270328.0,8915100,1.985555556,1852.9,291.05,406407115.8,1323801.68,24.254166666666663
East India,West Bengal,Safflower,Whole Year ,1997,10800.0,3000,0.2975,1852.9,291.05,1027836.0,3348.0,24.254166666666663
East India,West Bengal,Sannhamp,Whole Year ,1997,2015.0,9073,4.598571429,1852.9,291.05,191767.55,624.65,24.254166666666663
East India,West Bengal,Sesamum,Whole Year ,1997,127913.0,88943,0.649444444,1852.9,291.05,12173480.21,39653.03,24.254166666666663
East India,West Bengal,Small millets,Whole Year ,1997,5046.0,3222,0.626666667,1852.9,291.05,480227.82,1564.26,24.254166666666663
East India,West Bengal,Soyabean,Kharif     ,1997,1555.0,1172,1.196666667,1852.9,291.05,147989.35,482.05,24.254166666666663
East India,West Bengal,Sugarcane,Whole Year ,1997,25797.0,1818700,67.83625,1852.9,291.05,2455100.49,7997.07,24.254166666666663
East India,West Bengal,Sunflower,Whole Year ,1997,278.0,1,0.0,1852.9,291.05,26457.26,86.18,24.254166666666663
East India,West Bengal,Turmeric,Whole Year ,1997,12481.0,23556,1.661111111,1852.9,291.05,1187816.77,3869.11,24.254166666666663
East India,West Bengal,Urad,Kharif     ,1997,69271.0,44480,1.825,1852.9,291.05,6592521.07,21474.01,24.254166666666663
East India,West Bengal,Urad,Rabi       ,1997,16694.0,10553,0.628333333,1852.9,291.05,1588767.98,5175.14,24.254166666666663
East India,West Bengal,Wheat,Rabi       ,1997,367374.0,810480,1.886666667,1852.9,291.05,34962983.58,113885.94,24.254166666666663
Other,Puducherry,Arecanut,Kharif     ,1998,66.0,23,0.35,1434.5875,296.34,6520.8,19.14,24.695
Other,Puducherry,Bajra,Kharif     ,1998,149.0,324,2.17,1434.5875,296.34,14721.2,43.21,24.695
Other,Puducherry,Black pepper,Kharif     ,1998,12.0,7,0.58,1434.5875,296.34,1185.6,3.48,24.695
Other,Puducherry,Coriander,Kharif     ,1998,2.0,1,0.5,1434.5875,296.34,197.6,0.58,24.695
Other,Puducherry,Cotton(lint),Summer     ,1998,453.0,372,0.84,1434.5875,296.34,44756.4,131.37,24.695
Other,Puducherry,Dry chillies,Kharif     ,1998,8.0,23,2.75,1434.5875,296.34,790.4,2.32,24.695
Other,Puducherry,Groundnut,Rabi       ,1998,1046.0,2062,1.54,1434.5875,296.34,103344.8,303.34,24.695
Other,Puducherry,Onion,Kharif     ,1998,26.0,429,16.5,1434.5875,296.34,2568.8,7.54,24.695
Other,Puducherry,Ragi,Kharif     ,1998,112.0,366,3.27,1434.5875,296.34,11065.6,32.48,24.695
Other,Puducherry,Rice,Kharif     ,1998,4945.0,11518,2.46,1434.5875,296.34,488566.0,1434.05,24.695
Other,Puducherry,Rice,Rabi       ,1998,13961.0,30220,2.555,1434.5875,296.34,1379346.8,4048.69,24.695
Other,Puducherry,Rice,Summer     ,1998,5716.0,14863,2.55,1434.5875,296.34,564740.8,1657.64,24.695
Other,Puducherry,Sesamum,Kharif     ,1998,147.0,120,0.806666667,1434.5875,296.34,14523.6,42.63,24.695
Other,Puducherry,Small millets,Kharif     ,1998,4.0,3,0.75,1434.5875,296.34,395.2,1.16,24.695
Other,Puducherry,Sugarcane,Kharif     ,1998,2710.0,232369,82.595,1434.5875,296.34,267748.0,785.9,24.695
Other,Puducherry,Tapioca,Kharif     ,1998,649.0,19110,20.0,1434.5875,296.34,64121.2,188.21,24.695
North East India,Assam,Arecanut,Whole Year ,1998,74457.0,55355,0.784347826,2354.4,296.34,7356351.6,21592.53,24.695
North East India,Assam,Arhar/Tur,Kharif     ,1998,7657.0,5389,0.709130435,2354.4,296.34,756511.6,2220.53,24.695
North East India,Assam,Banana,Whole Year ,1998,41885.0,581884,13.78826087,2354.4,296.34,4138238.0,12146.65,24.695
North East India,Assam,Castor seed,Kharif     ,1998,1728.0,708,0.411428571,2354.4,296.34,170726.4,501.12,24.695
North East India,Assam,Coconut ,Whole Year ,1998,20166.0,149866000,6045.886957,2354.4,296.34,1992400.8,5848.14,24.695
North East India,Assam,Cotton(lint),Kharif     ,1998,1652.0,751,0.399130435,2354.4,296.34,163217.6,479.08,24.695
North East India,Assam,Dry chillies,Whole Year ,1998,14724.0,9690,0.636956522,2354.4,296.34,1454731.2,4269.96,24.695
North East India,Assam,Gram,Rabi       ,1998,3002.0,1503,0.460454545,2354.4,296.34,296597.6,870.58,24.695
North East India,Assam,Jute,Kharif     ,1998,78702.0,687173,9.040869565,2354.4,296.34,7775757.6,22823.58,24.695
North East India,Assam,Linseed,Rabi       ,1998,10222.0,5212,0.480909091,2354.4,296.34,1009933.6,2964.38,24.695
North East India,Assam,Maize,Kharif     ,1998,19810.0,13965,0.608695652,2354.4,296.34,1957228.0,5744.9,24.695
North East India,Assam,Mesta,Kharif     ,1998,5260.0,25623,4.9105,2354.4,296.34,519688.0,1525.4,24.695
North East India,Assam,Niger seed,Kharif     ,1998,8753.0,4478,0.520555556,2354.4,296.34,864796.4,2538.37,24.695
North East India,Assam,Onion,Whole Year ,1998,8083.0,18341,2.340434783,2354.4,296.34,798600.4,2344.07,24.695
North East India,Assam,Other  Rabi pulses,Rabi       ,1998,116141.0,62330,0.50826087,2354.4,296.34,11474730.8,33680.89,24.695
North East India,Assam,Potato,Whole Year ,1998,76958.0,611077,7.230434783,2354.4,296.34,7603450.4,22317.82,24.695
North East India,Assam,Rapeseed &Mustard,Rabi       ,1998,288829.0,135631,0.473478261,2354.4,296.34,28536305.2,83760.41,24.695
North East India,Assam,Rice,Autumn     ,1998,594979.0,520605,1.055652174,2354.4,296.34,58783925.2,172543.91,24.695
North East India,Assam,Rice,Summer     ,1998,223913.0,446114,1.685217391,2354.4,296.34,22122604.4,64934.77,24.695
North East India,Assam,Rice,Winter     ,1998,1635230.0,2288114,1.395652174,2354.4,296.34,161560724.0,474216.7,24.695
North East India,Assam,Sesamum,Kharif     ,1998,15940.0,8210,0.485217391,2354.4,296.34,1574872.0,4622.6,24.695
North East India,Assam,Small millets,Kharif     ,1998,10547.0,5450,0.521363636,2354.4,296.34,1042043.6,3058.63,24.695
North East India,Assam,Sugarcane,Whole Year ,1998,30571.0,1223578,39.89304348,2354.4,296.34,3020414.8,8865.59,24.695
North East India,Assam,Sweet potato,Whole Year ,1998,9433.0,32437,3.435652174,2354.4,296.34,931980.4,2735.57,24.695
North East India,Assam,Tapioca,Whole Year ,1998,2798.0,13261,4.445217391,2354.4,296.34,276442.4,811.42,24.695
North East India,Assam,Tobacco,Whole Year ,1998,1465.0,732,0.569545455,2354.4,296.34,144742.0,424.85,24.695
North East India,Assam,Turmeric,Whole Year ,1998,10729.0,7416,0.666956522,2354.4,296.34,1060025.2,3111.41,24.695
North East India,Assam,Wheat,Rabi       ,1998,89591.0,90509,0.999545455,2354.4,296.34,8851590.8,25981.39,24.695
Other,Goa,Arecanut,Whole Year ,1998,1500.0,1820,1.21,2964.9,296.34,148200.0,435.0,24.695
Other,Goa,Banana,Whole Year ,1998,1900.0,14400,7.58,2964.9,296.34,187720.0,551.0,24.695
Other,Goa,Black pepper,Whole Year ,1998,250.0,70,0.28,2964.9,296.34,24700.0,72.5,24.695
Other,Goa,Cashewnut,Whole Year ,1998,52875.0,15000,0.28,2964.9,296.34,5224050.0,15333.75,24.695
Other,Goa,Coconut ,Whole Year ,1998,24858.0,121000000,4867.65,2964.9,296.34,2455970.4,7208.82,24.695
Other,Goa,Groundnut,Kharif     ,1998,350.0,412,1.18,2964.9,296.34,34580.0,101.5,24.695
Other,Goa,Groundnut,Rabi       ,1998,1048.0,2124,2.03,2964.9,296.34,103542.4,303.92,24.695
Other,Goa,Other  Rabi pulses,Rabi       ,1998,8671.0,9220,1.06,2964.9,296.34,856694.8,2514.59,24.695
Other,Goa,Other Kharif pulses,Kharif     ,1998,1200.0,324,0.27,2964.9,296.34,118560.0,348.0,24.695
Other,Goa,Ragi,Kharif     ,1998,2500.0,2476,0.99,2964.9,296.34,247000.0,725.0,24.695
Other,Goa,Rice,Kharif     ,1998,41000.0,104249,2.54,2964.9,296.34,4050800.0,11890.0,24.695
Other,Goa,Rice,Rabi       ,1998,15439.0,46925,3.04,2964.9,296.34,1525373.2,4477.31,24.695
Other,Goa,Sugarcane,Whole Year ,1998,1320.0,64000,48.48,2964.9,296.34,130416.0,382.8,24.695
South India,Karnataka,Arecanut,Whole Year ,1998,98047.0,648365,6.232,1260.8,296.34,9687043.6,28433.63,24.695
South India,Karnataka,Arhar/Tur,Kharif     ,1998,475396.0,221453,0.400833333,1260.8,296.34,46969124.8,137864.84,24.695
South India,Karnataka,Bajra,Kharif     ,1998,415816.0,282231,0.601764706,1260.8,296.34,41082620.8,120586.64,24.695
South India,Karnataka,Bajra,Rabi       ,1998,451.0,536,1.19,1260.8,296.34,44558.8,130.79,24.695
South India,Karnataka,Bajra,Summer     ,1998,846.0,498,0.59,1260.8,296.34,83584.8,245.34,24.695
South India,Karnataka,Black pepper,Whole Year ,1998,4387.0,10342,2.238,1260.8,296.34,433435.6,1272.23,24.695
South India,Karnataka,Cardamom,Whole Year ,1998,20218.0,1153,0.06,1260.8,296.34,1997538.4,5863.22,24.695
South India,Karnataka,Castor seed,Kharif     ,1998,27246.0,23245,0.831818182,1260.8,296.34,2691904.8,7901.34,24.695
South India,Karnataka,Coconut ,Whole Year ,1998,310399.0,1611530000,4692.261111,1260.8,296.34,30667421.2,90015.71,24.695
South India,Karnataka,Coriander,Whole Year ,1998,17935.0,2982,0.118,1260.8,296.34,1771978.0,5201.15,24.695
South India,Karnataka,Cotton(lint),Kharif     ,1998,636495.0,976876,1.556521739,1260.8,296.34,62885706.0,184583.55,24.695
South India,Karnataka,Dry chillies,Whole Year ,1998,170319.0,146498,1.123703704,1260.8,296.34,16827517.2,49392.51,24.695
South India,Karnataka,Garlic,Whole Year ,1998,3574.0,3034,1.459411765,1260.8,296.34,353111.2,1036.46,24.695
South India,Karnataka,Ginger,Kharif     ,1998,3896.0,51169,12.75944444,1260.8,296.34,384924.8,1129.84,24.695
South India,Karnataka,Gram,Rabi       ,1998,355326.0,202508,0.573478261,1260.8,296.34,35106208.8,103044.54,24.695
South India,Karnataka,Groundnut,Kharif     ,1998,1012577.0,929016,0.8568,1260.8,296.34,100042607.6,293647.33,24.695
South India,Karnataka,Groundnut,Rabi       ,1998,217445.0,263118,1.3052,1260.8,296.34,21483566.0,63059.05,24.695
South India,Karnataka,Horse-gram,Kharif     ,1998,189486.0,90718,0.504615385,1260.8,296.34,18721216.8,54950.94,24.695
South India,Karnataka,Horse-gram,Rabi       ,1998,134779.0,62084,0.4492,1260.8,296.34,13316165.2,39085.91,24.695
South India,Karnataka,Jowar,Kharif     ,1998,420808.0,616645,1.305714286,1260.8,296.34,41575830.4,122034.32,24.695
South India,Karnataka,Jowar,Rabi       ,1998,1420162.0,1003450,0.7235,1260.8,296.34,140312005.6,411846.98,24.695
South India,Karnataka,Jowar,Summer     ,1998,8897.0,23144,2.461333333,1260.8,296.34,879023.6,2580.13,24.695
South India,Karnataka,Linseed,Rabi       ,1998,19806.0,6441,0.315,1260.8,296.34,1956832.8,5743.74,24.695
South India,Karnataka,Maize,Kharif     ,1998,450472.0,1542607,3.366,1260.8,296.34,44506633.6,130636.88,24.695
